fid,City,Nation,"City,Nation",Latitude,Longitude,cucu,wkt
"42",Lisbon,Lisbon,"Lisbon,Lisbon",38.7222524,-9.1393366,"1","LINESTRING (-8.4115401 43.3623436 ,-9.1393366 38.7222524)"
"43",Leitza,Spain,"Leitza,Spain",43.0848145,-1.9160305,"1","LINESTRING (-8.4115401 43.3623436 ,-1.9160305 43.0848145)"
"44",Aveiro,Portugual,"Aveiro,Portugual",40.6405055,-8.6537539,"1","LINESTRING (-8.4115401 43.3623436 ,-8.6537539 40.6405055)"
"45",Atlanta ,United States ,"Atlanta ,United States ",33.7489954,-84.3879824,"1","LINESTRING (-8.4115401 43.3623436 ,-84.3879824 33.7489954)"
"46",Lisbon,Portugal,"Lisbon,Portugal",38.7222524,-9.1393366,"1","LINESTRING (-8.4115401 43.3623436 ,-9.1393366 38.7222524)"
"47",Braga,Portugal,"Braga,Portugal",41.5454486,-8.426507,"1","LINESTRING (-8.4115401 43.3623436 ,-8.426507 41.5454486)"
"48",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"49",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"50",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"51",Madrid,Spain,"Madrid,Spain",40.4167754,-3.7037902,"1","LINESTRING (-8.4115401 43.3623436 ,-3.7037902 40.4167754)"
"52",Girona,Espanya,"Girona,Espanya",41.9794005,2.8214264,"1","LINESTRING (-8.4115401 43.3623436 ,2.8214264 41.9794005)"
"53",Santa Cruz de Tenerife,Spain,"Santa Cruz de Tenerife,Spain",28.4636296,-16.2518467,"1","LINESTRING (-8.4115401 43.3623436 ,-16.2518467 28.4636296)"
"54",Sevilla,Spain,"Sevilla,Spain",37.3890924,-5.9844589,"1","LINESTRING (-8.4115401 43.3623436 ,-5.9844589 37.3890924)"
